country,year,cap
Austria,1993,25.90388399
Austria,1994,26.55690275
Austria,1995,25.68143529
Austria,1996,25.97923942
Austria,1997,25.54107351
Austria,1998,25.58285019
Austria,1999,25.0791471
Austria,2000,25.70604997
Austria,2001,24.92791306
Austria,2002,23.62307749
Austria,2003,24.19412123
Austria,2004,23.76824666
Austria,2005,23.23458642
Austria,2006,22.8306808
Austria,2007,23.13939735
Austria,2008,23.53379701
Austria,2009,22.6637108
Austria,2010,21.86115542
Austria,2011,22.70735925
Austria,2012,22.95274343
Austria,2013,23.31211015
Austria,2014,22.96717884
Austria,2015,22.8959622
Austria,2016,23.32191024
Austria,2017,23.84594512
Austria,2018,24.31359376
Austria,2019,25.08011172
Austria,2020,25.1342567
Austria,2021,25.875777
Austria,2022,25.47417689
Austria,2023,24.90124025
Belgium,1993,21.31809101
Belgium,1994,20.79848278
Belgium,1995,21.23174074
Belgium,1996,21.18466301
Belgium,1997,21.8542937
Belgium,1998,21.7804885
Belgium,1999,22.16653543
Belgium,2000,22.50706383
Belgium,2001,22.39027083
Belgium,2002,20.69642412
Belgium,2003,20.49418884
Belgium,2004,21.46185041
Belgium,2005,22.15389359
Belgium,2006,22.32543906
Belgium,2007,23.29301444
Belgium,2008,24.11814191
Belgium,2009,22.55005178
Belgium,2010,21.93824289
Belgium,2011,22.79000616
Belgium,2012,22.82362324
Belgium,2013,22.15585114
Belgium,2014,22.84091967
Belgium,2015,23.1519861
Belgium,2016,23.51982218
Belgium,2017,23.50415149
Belgium,2018,23.77498358
Belgium,2019,24.23120988
Belgium,2020,24.03387249
Belgium,2021,23.9125795
Belgium,2022,23.85178361
Belgium,2023,24.44822466
Cyprus,1993,22.63413479
Cyprus,1994,20.58509348
Cyprus,1995,25.20154487
Cyprus,1996,24.06828702
Cyprus,1997,24.55429582
Cyprus,1998,19.68163903
Cyprus,1999,21.33760671
Cyprus,2000,20.0836358
Cyprus,2001,19.02272361
Cyprus,2002,20.94763863
Cyprus,2003,20.28618734
Cyprus,2004,20.64573436
Cyprus,2005,21.52668947
Cyprus,2006,25.07756097
Cyprus,2007,25.54834089
Cyprus,2008,27.18330375
Cyprus,2009,23.43934291
Cyprus,2010,22.39315328
Cyprus,2011,18.98354196
Cyprus,2012,15.46179268
Cyprus,2013,14.07952486
Cyprus,2014,13.30433988
Cyprus,2015,12.83299914
Cyprus,2016,18.03462808
Cyprus,2017,20.79473753
Cyprus,2018,18.58061932
Cyprus,2019,18.68392068
Cyprus,2020,20.81838456
Cyprus,2021,19.21698618
Cyprus,2022,19.89333867
Cyprus,2023,21.24846311
Czechia,1993,27.66695507
Czechia,1994,29.15175486
Czechia,1995,33.48165049
Czechia,1996,34.16320938
Czechia,1997,32.31737122
Czechia,1998,30.83982361
Czechia,1999,30.01590014
Czechia,2000,31.10584656
Czechia,2001,31.00007949
Czechia,2002,29.63446388
Czechia,2003,29.25158399
Czechia,2004,28.5804642
Czechia,2005,28.52485926
Czechia,2006,28.15107817
Czechia,2007,29.66655595
Czechia,2008,28.90567184
Czechia,2009,27.18415006
Czechia,2010,26.52196208
Czechia,2011,26.09834801
Czechia,2012,25.37511054
Czechia,2013,24.77537238
Czechia,2014,24.7408229
Czechia,2015,25.67646206
Czechia,2016,24.30934766
Czechia,2017,23.72740641
Czechia,2018,24.84566106
Czechia,2019,25.77204553
Czechia,2020,25.53536029
Czechia,2021,26.23695752
Czechia,2022,27.68776511
Czechia,2023,27.30074737
Denmark,1993,18.06377726
Denmark,1994,18.30431467
Denmark,1995,19.456007
Denmark,1996,19.58969145
Denmark,1997,20.79481837
Denmark,1998,21.53456158
Denmark,1999,20.89241535
Denmark,2000,21.45958661
Denmark,2001,21.26379179
Denmark,2002,20.58711393
Denmark,2003,20.69764567
Denmark,2004,20.65793992
Denmark,2005,21.17237973
Denmark,2006,23.27476471
Denmark,2007,23.49838631
Denmark,2008,22.93938775
Denmark,2009,20.10243138
Denmark,2010,17.99391446
Denmark,2011,18.14753095
Denmark,2012,18.79864356
Denmark,2013,18.80653812
Denmark,2014,19.33425699
Denmark,2015,19.8029126
Denmark,2016,20.98488206
Denmark,2017,21.23038287
Denmark,2018,21.76294543
Denmark,2019,21.35340899
Denmark,2020,22.18442448
Denmark,2021,22.52476984
Denmark,2022,22.81433332
Denmark,2023,22.57105278
Estonia,1993,24.36013625
Estonia,1994,27.05281997
Estonia,1995,26.5046103
Estonia,1996,27.03013883
Estonia,1997,28.59618255
Estonia,1998,31.33680271
Estonia,1999,25.90499311
Estonia,2000,26.68719604
Estonia,2001,27.4503342
Estonia,2002,30.55281784
Estonia,2003,32.75095456
Estonia,2004,31.71449726
Estonia,2005,32.85643697
Estonia,2006,36.7942379
Estonia,2007,36.39057239
Estonia,2008,31.12901065
Estonia,2009,22.67714471
Estonia,2010,21.23326337
Estonia,2011,26.35564263
Estonia,2012,28.44042363
Estonia,2013,27.53276835
Estonia,2014,25.34276952
Estonia,2015,24.0517427
Estonia,2016,23.94490431
Estonia,2017,25.40394707
Estonia,2018,26.57605175
Estonia,2019,26.61533869
Estonia,2020,31.17536488
Estonia,2021,28.71356208
Estonia,2022,25.78454101
Estonia,2023,27.92709824
Finland,1993,19.17182572
Finland,1994,18.67374181
Finland,1995,19.29733683
Finland,1996,20.52423586
Finland,1997,21.36975913
Finland,1998,22.21770142
Finland,1999,22.44893134
Finland,2000,23.0668837
Finland,2001,22.87761128
Finland,2002,21.6087308
Finland,2003,21.78836495
Finland,2004,22.26015963
Finland,2005,22.920943
Finland,2006,22.76858285
Finland,2007,24.19717843
Finland,2008,24.49537459
Finland,2009,22.9565026
Finland,2010,22.82098572
Finland,2011,22.90860337
Finland,2012,23.31493477
