country,year,population
Belgium,1993,10.068319
Belgium,1994,10.100631
Belgium,1995,10.130574
Belgium,1996,10.143047
Belgium,1997,10.170226
Belgium,1998,10.192264
Belgium,1999,10.213752
Belgium,2000,10.239085
Belgium,2001,10.263414
Belgium,2002,10.309725
Belgium,2003,10.355844
Belgium,2004,10.396421
Belgium,2005,10.445852
Belgium,2006,10.511382
Belgium,2007,10.584534
Belgium,2008,10.666866
Belgium,2009,10.75308
Belgium,2010,10.839905
Belgium,2011,11.000638
Belgium,2012,11.075889
Belgium,2013,11.137974
Belgium,2014,11.18084
Belgium,2015,11.237274
Belgium,2016,11.311117
Belgium,2017,11.351727
Belgium,2018,11.398589
Belgium,2019,11.455519
Belgium,2020,11.52244
Belgium,2021,11.554767
Belgium,2022,11.617623
Belgium,2023,11.742796
Czechia,1993,10.325697
Czechia,1994,10.334013
Czechia,1995,10.333161
Czechia,1996,10.321344
Czechia,1997,10.309137
Czechia,1998,10.299125
Czechia,1999,10.289621
Czechia,2000,10.278098
Czechia,2001,10.232027
Czechia,2002,10.201182
Czechia,2003,10.192649
Czechia,2004,10.195347
Czechia,2005,10.198855
Czechia,2006,10.223577
Czechia,2007,10.254233
Czechia,2008,10.343422
Czechia,2009,10.425783
Czechia,2010,10.462088
Czechia,2011,10.486731
Czechia,2012,10.505445
Czechia,2013,10.516125
Czechia,2014,10.512419
Czechia,2015,10.538275
Czechia,2016,10.553843
Czechia,2017,10.57882
Czechia,2018,10.610055
Czechia,2019,10.6498
Czechia,2020,10.693939
Czechia,2021,10.494836
Czechia,2022,10.516707
Czechia,2023,10.827529
Denmark,1993,5.180614
Denmark,1994,5.196642
Denmark,1995,5.215718
Denmark,1996,5.251027
Denmark,1997,5.275121
Denmark,1998,5.29486
Denmark,1999,5.313577
Denmark,2000,5.33002
Denmark,2001,5.349212
Denmark,2002,5.368354
Denmark,2003,5.383507
Denmark,2004,5.39764
Denmark,2005,5.411405
Denmark,2006,5.427459
Denmark,2007,5.447084
Denmark,2008,5.475791
Denmark,2009,5.511451
Denmark,2010,5.534738
Denmark,2011,5.560628
Denmark,2012,5.580516
Denmark,2013,5.602628
Denmark,2014,5.627235
Denmark,2015,5.659715
Denmark,2016,5.707251
Denmark,2017,5.748769
Denmark,2018,5.78119
Denmark,2019,5.806081
Denmark,2020,5.822763
Denmark,2021,5.840045
Denmark,2022,5.87342
Denmark,2023,5.932654
Germany,1993,80.974632
