geo\TIME_PERIOD,Attribute,Value
AL,2019,10048.4
AL,2020,9804.4
AL,2021,10473.7
AL,2022,11012.9
AL,2023,11551.7
AT,1995,176594.2
AT,1996,179695.4
AT,1997,183613
AT,1998,190554
AT,1999,197178.1
AT,2000,204320.5
AT,2001,207358.1
AT,2002,210227.9
AT,2003,212983.4
AT,2004,218809.7
AT,2005,224194.7
AT,2006,232152.9
AT,2007,241143.4
AT,2008,245224.1
AT,2009,235404.3
AT,2010,239810
AT,2011,247618
AT,2012,248738.1
AT,2013,248413.9
AT,2014,250263.2
AT,2015,252957.6
AT,2016,258221.3
AT,2017,264412.6
AT,2018,271627.6
AT,2019,276482.8
AT,2020,259477.4
AT,2021,270777.5
AT,2022,287214.5
AT,2023,283822.5
BA,2000,5824.4
BA,2001,6263.5
BA,2002,6583.6
BA,2003,6848.4
BA,2004,7305.1
BA,2005,7613.8
BA,2006,8065
BA,2007,8559.9
BA,2008,9042.7
BA,2009,8817.8
BA,2010,8882.4
BA,2011,8974.7
BA,2012,8903.7
BA,2013,9118
BA,2014,9224.4
BA,2015,9351.3
BA,2016,9650.5
BA,2017,9970.4
BA,2018,10347.6
BA,2019,10642.3
BA,2020,10350.5
BA,2021,11071.9
BA,2022,11532.7
BA,2023,11800
BE,1995,220134.9
BE,1996,222152.1
BE,1997,230253.8
BE,1998,234553.8
BE,1999,242356.3
BE,2000,251047.6
BE,2001,254864.1
BE,2002,259026
BE,2003,261911.7
BE,2004,270219.1
BE,2005,276828.7
BE,2006,283611.6
BE,2007,294188.1
BE,2008,296506.2
BE,2009,291033.8
BE,2010,298983.6
BE,2011,305722.8
BE,2012,306343.8
BE,2013,307054.1
BE,2014,312851.4
BE,2015,317686.5
BE,2016,320447.4
BE,2017,325019.4
BE,2018,331266.1
BE,2019,339917.3
BE,2020,325628.4
BE,2021,344150.2
BE,2022,359690.1
BE,2023,363747.1
BG,1995,18104.4
BG,1996,19181
BG,1997,16279.8
BG,1998,16583.7
BG,1999,15103.9
BG,2000,15700.3
BG,2001,16339.7
BG,2002,17581.4
BG,2003,18311.9
BG,2004,19205
BG,2005,20444.8
BG,2006,21905.4
BG,2007,23339.9
BG,2008,24775.6
BG,2009,24562.9
BG,2010,25012.4
BG,2011,25487.8
BG,2012,25552.2
BG,2013,25131.1
BG,2014,25372.8
BG,2015,26119.5
BG,2016,26792.6
BG,2017,27671.7
BG,2018,28590.9
BG,2019,29573.4
BG,2020,28647.1
BG,2021,30977.8
BG,2022,32669.9
BG,2023,33082.8
CH,1995,272766.6
CH,1996,273767
CH,1997,279174
CH,1998,287525.2
CH,1999,290918.8
CH,2000,301587.8
CH,2001,306917.1
CH,2002,307431.2
CH,2003,307261.6
CH,2004,315229.8
CH,2005,323882.1
CH,2006,336810.8
CH,2007,349722.2
CH,2008,359861.1
CH,2009,351613.1
CH,2010,362699.3
CH,2011,369754.6
CH,2012,374698.2
CH,2013,381505.9
CH,2014,390405.6
CH,2015,396747.1
CH,2016,405030
CH,2017,410565.5
CH,2018,422877.6
CH,2019,427969.5
CH,2020,419196.5
CH,2021,442494.5
CH,2022,455963.4
CH,2023,459192.9
CY,1995,8788.7
CY,1996,8898.4
CY,1997,9133.4
CY,1998,9691.6
CY,1999,10175.9
CY,2000,10783
CY,2001,11209.2
CY,2002,11626.5
CY,2003,11931.5
CY,2004,12531.2
CY,2005,13139.3
CY,2006,13758.7
CY,2007,14460.1
CY,2008,14987.4
CY,2009,14685.4
CY,2010,15026.1
CY,2011,15088.7
CY,2012,14568.5
CY,2013,13608.8
CY,2014,13367.1
CY,2015,13802.9
CY,2016,14710.3
CY,2017,15559
CY,2018,16552.3
CY,2019,17557.3
CY,2020,17006.4
CY,2021,18943
CY,2022,20338.3
CY,2023,20869.5
CZ,1995,76923.3
CZ,1996,79854.6
CZ,1997,78809.3
CZ,1998,78517.4
CZ,1999,79634.1
CZ,2000,83044.3
CZ,2001,85484.1
CZ,2002,87157.8
CZ,2003,89484.1
CZ,2004,93751.6
CZ,2005,99873.9
CZ,2006,106984.5
CZ,2007,112545.5
CZ,2008,116476
CZ,2009,110142.5
CZ,2010,113790.8
CZ,2011,115804
CZ,2012,114852.1
CZ,2013,114838.7
CZ,2014,118093.1
