country,year,fiscal
Austria,1993,19.37631024
Austria,1994,19.52082653
Austria,1995,19.66668963
Austria,1996,19.67340699
Austria,1997,19.69943498
Austria,1998,19.66041128
Austria,1999,19.92044219
Austria,2000,19.32826873
Austria,2001,19.07579893
Austria,2002,18.97656694
Austria,2003,19.08835893
Austria,2004,19.03323825
Austria,2005,19.47814113
Austria,2006,19.39521749
Austria,2007,18.86234167
Austria,2008,19.39863511
Austria,2009,20.81209393
Austria,2010,20.62119879
Austria,2011,20.02321825
Austria,2012,19.99015065
Austria,2013,20.0845066
Austria,2014,19.98476082
Austria,2015,19.88795485
Austria,2016,19.75841914
Austria,2017,19.59894064
Austria,2018,19.4423168
Austria,2019,19.53132113
Austria,2020,21.15293402
Austria,2021,21.73176561
Austria,2022,20.55248881
Austria,2023,20.46541252
Belgium,1993,21.29464265
Belgium,1994,21.10193383
Belgium,1995,21.29896512
Belgium,1996,21.71838622
Belgium,1997,21.15139792
Belgium,1998,21.09491806
Belgium,1999,21.28203985
Belgium,2000,21.04019715
Belgium,2001,21.31360634
Belgium,2002,22.13888154
Belgium,2003,22.48437234
Belgium,2004,22.19721265
Belgium,2005,22.09399763
Belgium,2006,21.93878853
Belgium,2007,21.61589482
Belgium,2008,22.66614469
Belgium,2009,24.10410919
Belgium,2010,23.72600225
Belgium,2011,23.87305562
Belgium,2012,24.19307982
Belgium,2013,24.2057918
Belgium,2014,24.1169029
Belgium,2015,23.68120364
Belgium,2016,23.34989081
Belgium,2017,23.11780233
Belgium,2018,23.16961913
Belgium,2019,23.00381128
Belgium,2020,24.30080459
Belgium,2021,23.84076461
Belgium,2022,23.49303585
Belgium,2023,23.77194415
Cyprus,1993,16.8717747
Cyprus,1994,16.65707883
Cyprus,1995,12.47148626
Cyprus,1996,13.20760108
Cyprus,1997,14.84814774
Cyprus,1998,16.10524937
Cyprus,1999,16.18856586
Cyprus,2000,15.23645529
Cyprus,2001,16.09632323
Cyprus,2002,16.78869765
Cyprus,2003,18.08911779
Cyprus,2004,16.7828088
Cyprus,2005,16.75245291
Cyprus,2006,17.18938252
Cyprus,2007,16.7546543
Cyprus,2008,17.36286096
Cyprus,2009,19.11921699
Cyprus,2010,18.74711572
Cyprus,2011,19.36088971
Cyprus,2012,19.10145649
Cyprus,2013,18.73356531
Cyprus,2014,17.07278108
Cyprus,2015,16.60931001
