country,year,lfpr
Austria,1993,56.69
Austria,1994,59.06
Austria,1995,59.43
Austria,1996,58.83
Austria,1997,58.44
Austria,1998,58.85
Austria,1999,58.99
Austria,2000,58.71
Austria,2001,58.24
Austria,2002,58.96
Austria,2003,59.15
Austria,2004,58.04
Austria,2005,58.46
Austria,2006,58.97
Austria,2007,59.83
Austria,2008,60.08
Austria,2009,60.35
Austria,2010,60.29
Austria,2011,60.36
Austria,2012,60.65
Austria,2013,60.8
Austria,2014,60.6
Austria,2015,60.63
Austria,2016,61.13
Austria,2017,61.1
Austria,2018,61.32
Austria,2019,61.31
Austria,2020,60.81
Austria,2021,61.15
Austria,2022,61.51
Austria,2023,61.703
Belgium,1993,49.73
Belgium,1994,50.33
Belgium,1995,50.53
Belgium,1996,50.41
Belgium,1997,50.52
Belgium,1998,50.85
Belgium,1999,51.91
Belgium,2000,52.29
Belgium,2001,50.89
Belgium,2002,51.19
Belgium,2003,51.35
Belgium,2004,52.03
Belgium,2005,53.3
Belgium,2006,53.11
Belgium,2007,53.59
Belgium,2008,53.68
Belgium,2009,53.47
Belgium,2010,54.07
Belgium,2011,53.2
Belgium,2012,53.25
Belgium,2013,53.56
Belgium,2014,53.51
Belgium,2015,53.31
Belgium,2016,53.11
Belgium,2017,53.84
Belgium,2018,54.19
Belgium,2019,54.39
Belgium,2020,53.82
Belgium,2021,54.49
Belgium,2022,55.1
Belgium,2023,54.92
Cyprus,1993,59.45
Cyprus,1994,59.55
Cyprus,1995,59.651
Cyprus,1996,59.751
Cyprus,1997,59.851
Cyprus,1998,59.95
Cyprus,1999,60.05
Cyprus,2000,60.15
Cyprus,2001,61.73
Cyprus,2002,61.89
Cyprus,2003,63.18
Cyprus,2004,63
Cyprus,2005,63.32
Cyprus,2006,63.57
Cyprus,2007,64.4
Cyprus,2008,64.27
Cyprus,2009,63.88
Cyprus,2010,64.34
Cyprus,2011,63.8
Cyprus,2012,63.65
Cyprus,2013,63.49
Cyprus,2014,63.89
Cyprus,2015,62.38
Cyprus,2016,61.3
Cyprus,2017,61.71
Cyprus,2018,62.49
Cyprus,2019,63.02
Cyprus,2020,62.81
Cyprus,2021,63.83
Cyprus,2022,65.1
Cyprus,2023,65.335
Czechia,1993,61.42
Czechia,1994,61.62
Czechia,1995,61.51
Czechia,1996,61.24
Czechia,1997,61.09
Czechia,1998,61.03
Czechia,1999,60.99
Czechia,2000,60.4
Czechia,2001,59.99
Czechia,2002,59.76
Czechia,2003,59.42
Czechia,2004,59.18
Czechia,2005,59.36
Czechia,2006,59.26
Czechia,2007,58.77
Czechia,2008,58.5
Czechia,2009,58.68
Czechia,2010,58.44
Czechia,2011,58.26
Czechia,2012,58.64
Czechia,2013,59.28
Czechia,2014,59.31
Czechia,2015,59.42
Czechia,2016,59.92
Czechia,2017,60.22
Czechia,2018,60.56
Czechia,2019,60.38
Czechia,2020,59.79
Czechia,2021,59.83
Czechia,2022,59.9
Czechia,2023,60.09
Denmark,1993,67.37
Denmark,1994,64.38
Denmark,1995,64.61
Denmark,1996,65.2
Denmark,1997,65.44
Denmark,1998,65.18
Denmark,1999,65.8
Denmark,2000,65.54
Denmark,2001,65.15
Denmark,2002,65.64
Denmark,2003,65.48
Denmark,2004,65.93
Denmark,2005,65.65
Denmark,2006,65.93
Denmark,2007,65.71
Denmark,2008,65.08
Denmark,2009,64.39
Denmark,2010,63.5
Denmark,2011,63.05
Denmark,2012,62.31
Denmark,2013,61.42
Denmark,2014,61.26
Denmark,2015,61.32
Denmark,2016,61.65
Denmark,2017,61.72
Denmark,2018,61.82
Denmark,2019,62.37
Denmark,2020,62.02
Denmark,2021,62.54
Denmark,2022,63.4
Denmark,2023,63.608
Estonia,1993,63.153
Estonia,1994,63.057
Estonia,1995,61.845
Estonia,1996,61.214
Estonia,1997,60.807
Estonia,1998,59.961
Estonia,1999,58.698
Estonia,2000,58.452
Estonia,2001,57.805
Estonia,2002,56.869
Estonia,2003,58.397
Estonia,2004,58.479
Estonia,2005,58.196
Estonia,2006,60.306
