country,year,gdp
Belgium,1993,43001.06808
Belgium,1994,44252.10623
Belgium,1995,45212.62037
Belgium,1996,45720.65221
Belgium,1997,47340.44483
Belgium,1998,48166.22686
Belgium,1999,49758.44877
Belgium,2000,51482.81701
Belgium,2001,51870.20856
Belgium,2002,52519.6205
Belgium,2003,52843.06397
Belgium,2004,54493.84502
Belgium,2005,55453.18546
Belgium,2006,56494.69276
Belgium,2007,58143.42356
Belgium,2008,57943.71467
Belgium,2009,56383.56013
Belgium,2010,57385.03552
Belgium,2011,57737.15979
Belgium,2012,57504.03154
Belgium,2013,57408.47529
Belgium,2014,58163.26735
Belgium,2015,58679.68528
Belgium,2016,59080.14758
Belgium,2017,59720.76044
Belgium,2018,60565.98208
Belgium,2019,61711.11482
Belgium,2020,58500.63103
Belgium,2021,61873.96496
Belgium,2022,63974.24459
Belgium,2023,64185.84679
Austria,1993,45086.26048
Austria,1994,45991.93597
Austria,1995,47146.75328
Austria,1996,48126.39162
Austria,1997,49103.43058
Austria,1998,50762.82284
Austria,1999,52570.10028
Austria,2000,54116.54671
Austria,2001,54619.77008
Austria,2002,55158.49136
Austria,2003,55517.05921
Austria,2004,56589.03624
Austria,2005,57508.98113
Austria,2006,59096.01265
Austria,2007,61128.5523
Austria,2008,61823.10181
Austria,2009,59450.02629
Austria,2010,60380.14194
Austria,2011,61938.61573
Austria,2012,62044.21403
Austria,2013,61524.96171
Austria,2014,61507.37768
Austria,2015,61614.56013
Austria,2016,62242.33687
Austria,2017,63215.99816
Austria,2018,64471.63395
Austria,2019,65312.02391
Austria,2020,60931.94239
Austria,2021,63576.24163
Austria,2022,66294.71913
Austria,2023,65015.13459
Czechia,1993,25704.93676
Czechia,1994,26443.21944
Czechia,1995,28105.58687
Czechia,1996,29311.28496
Czechia,1997,29168.05243
Czechia,1998,29080.91777
Czechia,1999,29511.89634
Czechia,2000,30781.71637
Czechia,2001,31798.93732
Czechia,2002,32342.53048
Czechia,2003,33419.66818
Czechia,2004,34991.88584
Czechia,2005,37171.17569
Czechia,2006,39525.90747
Czechia,2007,41452.81393
Czechia,2008,42184.33535
Czechia,2009,39932.04028
Czechia,2010,40896.73029
Czechia,2011,41535.61336
Czechia,2012,41157.88086
Czechia,2013,41127.02768
Czechia,2014,42006.17035
Czechia,2015,44002.56571
Czechia,2016,45051.61076
Czechia,2017,47256.68445
Czechia,2018,48431.95239
Czechia,2019,49961.79573
Czechia,2020,47196.45046
Czechia,2021,49995.70482
Czechia,2022,50617.69875
Czechia,2023,49681.05807
Cyprus,1993,29109.64648
Cyprus,1994,30196.07617
Cyprus,1995,32133.31836
Cyprus,1996,32020.08398
Cyprus,1997,32403.11719
Cyprus,1998,33964.21484
Cyprus,1999,35264.91016
Cyprus,2000,36973.19922
Cyprus,2001,38022.54297
Cyprus,2002,38988.72266
Cyprus,2003,39528.17578
Cyprus,2004,40963.37109
Cyprus,2005,42337.1875
Cyprus,2006,43599.38281
Cyprus,2007,44856.83594
Cyprus,2008,45339.75
Cyprus,2009,43249.28906
Cyprus,2010,43094.99219
Cyprus,2011,42184.42188
Cyprus,2012,40114.26953
Cyprus,2013,37558.96094
Cyprus,2014,37300.1875
Cyprus,2015,38795.71094
Cyprus,2016,41156.76953
Cyprus,2017,43120.65625
Cyprus,2018,45269.44141
Cyprus,2019,47283.45703
Cyprus,2020,45244.85156
Cyprus,2021,49929.83984
Cyprus,2022,52882.28516
Cyprus,2023,53420.68359
Denmark,1993,47379.02445
Denmark,1994,49719.40988
Denmark,1995,50963.70185
Denmark,1996,52143.5529
Denmark,1997,53572.61943
Denmark,1998,54620.16018
Denmark,1999,56055.12125
Denmark,2000,57948.61121
Denmark,2001,58289.90522
Denmark,2002,58369.23571
Denmark,2003,58467.44311
Denmark,2004,59935.61176
Denmark,2005,61181.08267
Denmark,2006,63307.65137
Denmark,2007,63649.71623
Denmark,2008,63012.86301
